   505	1   1   1   1   25	2	7	7	1	9
   506	1   1   1   1   26	2	7	7	2	10
   507	1   1   1   1   27	2	7	7	3	11
   508	1   1   1   1   28	2	7	7	4	12
   509	1   1   1   1   29	2	7	7	5	13
   510	1   1   1   1   30	2	7	7	6	14
   511	1   1   1   1   31	2	7	7	7	15
   512	1   1   1   1   32	0	8	8	0	8
   513	1   1   1   1   33	0	8	8	1	9
   514	1   1   1   1   34	0	8	8	2	10
   515	1   1   1   1   35	0	8	8	3	11
   516	1   1   1   1   36	0	8	8	4	12
   517	1   1   1   1   37	0	8	8	5	13
   518	1   1   1   1   38	0	8	8	6	14
   519	1   1   1   1   39	0	8	8	7	15
   520	1   1   1   1   40	0	9	9	0	8
   521	1   1   1   1   41	0	9	9	1	9
   522	1   1   1   1   42	0	9	9	2	10
   523	1   1   1   1   43	0	9	9	3	11
   524	1   1   1   1   44	0	9	9	4	12
   525	1   1   1   1   45	0	9	9	5	13
   526	1   1   1   1   46	0	9	9	6	14
   527	1   1   1   1   47	0	9	9	7	15
   528	1   1   1   1   48	0	10	10	0	8
   529	1   1   1   1   49	0	10	10	1	9
   530	1   1   1   1   50	0	10	10	2	10
   531	1   1   1   1   51	0	10	10	3	11
   532	1   1   1   1   52	0	10	10	4	12
   533	1   1   1   1   53	0	10	10	5	13
   534	1   1   1   1   54	0	10	10	6	14
   535	1   1   1   1   55	0	10	10	7	15
   536	1   1   1   1   56	0	11	11	0	8
   537	1   1   1   1   57	0	11	11	1	9
   538	1   1   1   1   58	0	11	11	2	10
   539	1   1   1   1   59	0	11	11	3	11
   540	1   1   1   1   60	0	11	11	4	12
   541	1   1   1   1   61	0	11	11	5	13
   542	1   1   1   1   62	0	11	11	6	14
   543	1   1   1   1   63	0	11	11	7	15
   544	1   1   1   1   64	0	12	12	0	8
   545	1   1   1   1   65	0	12	12	1	9
   546	1   1   1   1   66	0	12	12	2	10
   547	1   1   1   1   67	0	12	12	3	11
   548	1   1   1   1   68	0	12	12	4	12
   549	1   1   1   1   69	0	12	12	5	13
   550	1   1   1   1   70	0	12	12	6	14
   551	1   1   1   1   71	0	12	12	7	15
   552	1   1   1   1   72	0	13	13	0	8
   553	1   1   1   1   73	0	13	13	1	9
   554	1   1   1   1   74	0	13	13	2	10
   555	1   1   1   1   75	0	13	13	3	11
   556	1   1   1   1   76	0	13	13	4	12
   557	1   1   1   1   77	0	13	13	5	13
   558	1   1   1   1   78	0	13	13	6	14
   559	1   1   1   1   79	0	13	13	7	15
   560	1   1   1   1   80	0	14	14	0	8
   561	1   1   1   1   81	0	14	14	1	9
   562	1   1   1   1   82	0	14	14	2	10
   563	1   1   1   1   83	0	14	14	3	11
   564	1   1   1   1   84	0	14	14	4	12
   565	1   1   1   1   85	0	14	14	5	13
   566	1   1   1   1   86	0	14	14	6	14
   567	1   1   1   1   87	0	14	14	7	15
   568	1   1   1   1   88	0	15	15	0	8
   569	1   1   1   1   89	0	15	15	1	9
   570	1   1   1   1   90	0	15	15	2	10
   571	1   1   1   1   91	0	15	15	3	11
   572	1   1   1   1   92	0	15	15	4	12
   573	1   1   1   1   93	0	15	15	5	13
   574	1   1   1   1   94	0	15	15	6	14
   575	1   1   1   1   95	0	15	15	7	15
   576	1   1   1   2   0	2	8	8	0	8
   577	1   1   1   2   1	2	8	8	1	9
   578	1   1   1   2   2	2	8	8	2	10
   579	1   1   1   2   3	2	8	8	3	11
   580	1   1   1   2   4	2	8	8	4	12
   581	1   1   1   2   5	2	8	8	5	13
   582	1   1   1   2   6	2	8	8	6	14
   583	1   1   1   2   7	2	8	8	7	15
   584	1   1   1   2   8	2	9	9	0	8
   585	1   1   1   2   9	2	9	9	1	9
   586	1   1   1   2   10	2	9	9	2	10
   587	1   1   1   2   11	2	9	9	3	11
   588	1   1   1   2   12	2	9	9	4	12
   589	1   1   1   2   13	2	9	9	5	13
   590	1   1   1   2   14	2	9	9	6	14
   591	1   1   1   2   15	2	9	9	7	15
   592	1   1   1   2   16	2	10	10	0	8
   593	1   1   1   2   17	2	10	10	1	9
   594	1   1   1   2   18	2	10	10	2	10
   595	1   1   1   2   19	2	10	10	3	11
   596	1   1   1   2   20	2	10	10	4	12
   597	1   1   1   2   21	2	10	10	5	13
   598	1   1   1   2   22	2	10	10	6	14
   599	1   1   1   2   23	2	10	10	7	15
   600	1   1   1   2   24	2	11	11	0	8
   601	1   1   1   2   25	2	11	11	1	9
   602	1   1   1   2   26	2	11	11	2	10
   603	1   1   1   2   27	2	11	11	3	11
   604	1   1   1   2   28	2	11	11	4	12
   605	1   1   1   2   29	2	11	11	5	13
   606	1   1   1   2   30	2	11	11	6	14
   607	1   1   1   2   31	2	11	11	7	15
